============= VM1 LOG START =============
Clock rate: 5 ticks per second
Peers: [0, 2]

Internal event | System time: 2025-03-04 17:31:33.463797 | Logical Clock Time: 111
Sent: 112 | System time: 2025-03-04 17:31:33.664361 | Logical Clock Time: 112
Sent: 113 | System time: 2025-03-04 17:31:33.864627 | Logical Clock Time: 113
Internal event | System time: 2025-03-04 17:31:34.064584 | Logical Clock Time: 114
Internal event | System time: 2025-03-04 17:31:34.264980 | Logical Clock Time: 115
Sent: 116 | System time: 2025-03-04 17:31:34.465567 | Logical Clock Time: 116
Internal event | System time: 2025-03-04 17:31:34.665733 | Logical Clock Time: 117
Received: 118 | System time: 2025-03-04 17:31:34.865962 | Logical Clock Time: 119 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:35.066316 | Logical Clock Time: 120
Sent: 121 | System time: 2025-03-04 17:31:35.268172 | Logical Clock Time: 121
Internal event | System time: 2025-03-04 17:31:35.466830 | Logical Clock Time: 122
Internal event | System time: 2025-03-04 17:31:35.667219 | Logical Clock Time: 123
Internal event | System time: 2025-03-04 17:31:35.867532 | Logical Clock Time: 124
Internal event | System time: 2025-03-04 17:31:36.067892 | Logical Clock Time: 125
Internal event | System time: 2025-03-04 17:31:36.268210 | Logical Clock Time: 126
Internal event | System time: 2025-03-04 17:31:36.468459 | Logical Clock Time: 127
Received: 125 | System time: 2025-03-04 17:31:36.668671 | Logical Clock Time: 128 | Message Queue Length: 0
Received: 126 | System time: 2025-03-04 17:31:36.869239 | Logical Clock Time: 129 | Message Queue Length: 0
Sent: 130 | System time: 2025-03-04 17:31:37.069564 | Logical Clock Time: 130
Internal event | System time: 2025-03-04 17:31:37.269544 | Logical Clock Time: 131
Internal event | System time: 2025-03-04 17:31:37.469907 | Logical Clock Time: 132
Sent: 133 | System time: 2025-03-04 17:31:37.672020 | Logical Clock Time: 133
Internal event | System time: 2025-03-04 17:31:37.870574 | Logical Clock Time: 134
Internal event | System time: 2025-03-04 17:31:38.070798 | Logical Clock Time: 135
Internal event | System time: 2025-03-04 17:31:38.271009 | Logical Clock Time: 136
Internal event | System time: 2025-03-04 17:31:38.471483 | Logical Clock Time: 137
Sent: 138 | System time: 2025-03-04 17:31:38.672394 | Logical Clock Time: 138
Sent: 139 | System time: 2025-03-04 17:31:38.872529 | Logical Clock Time: 139
Internal event | System time: 2025-03-04 17:31:39.072498 | Logical Clock Time: 140
Sent: 141 | System time: 2025-03-04 17:31:39.273409 | Logical Clock Time: 141
Sent: 142 | System time: 2025-03-04 17:31:39.473740 | Logical Clock Time: 142
Internal event | System time: 2025-03-04 17:31:39.673727 | Logical Clock Time: 143
Sent: 144 | System time: 2025-03-04 17:31:39.876307 | Logical Clock Time: 144
Internal event | System time: 2025-03-04 17:31:40.074507 | Logical Clock Time: 145
Internal event | System time: 2025-03-04 17:31:40.274745 | Logical Clock Time: 146
Internal event | System time: 2025-03-04 17:31:40.474916 | Logical Clock Time: 147
Internal event | System time: 2025-03-04 17:31:40.675265 | Logical Clock Time: 148
Internal event | System time: 2025-03-04 17:31:40.875834 | Logical Clock Time: 149
Sent: 150 | System time: 2025-03-04 17:31:41.076636 | Logical Clock Time: 150
Internal event | System time: 2025-03-04 17:31:41.276697 | Logical Clock Time: 151
Internal event | System time: 2025-03-04 17:31:41.477106 | Logical Clock Time: 152
Internal event | System time: 2025-03-04 17:31:41.677819 | Logical Clock Time: 153
Internal event | System time: 2025-03-04 17:31:41.878426 | Logical Clock Time: 154
Internal event | System time: 2025-03-04 17:31:42.078993 | Logical Clock Time: 155
Internal event | System time: 2025-03-04 17:31:42.279446 | Logical Clock Time: 156
Sent: 157 | System time: 2025-03-04 17:31:42.480896 | Logical Clock Time: 157
Internal event | System time: 2025-03-04 17:31:42.680734 | Logical Clock Time: 158
Sent: 159 | System time: 2025-03-04 17:31:42.883216 | Logical Clock Time: 159
Internal event | System time: 2025-03-04 17:31:43.081635 | Logical Clock Time: 160
Sent: 161 | System time: 2025-03-04 17:31:43.282442 | Logical Clock Time: 161
Internal event | System time: 2025-03-04 17:31:43.482317 | Logical Clock Time: 162
Internal event | System time: 2025-03-04 17:31:43.682765 | Logical Clock Time: 163
Internal event | System time: 2025-03-04 17:31:43.883261 | Logical Clock Time: 164
Internal event | System time: 2025-03-04 17:31:44.083947 | Logical Clock Time: 165
Internal event | System time: 2025-03-04 17:31:44.284368 | Logical Clock Time: 166
Internal event | System time: 2025-03-04 17:31:44.484788 | Logical Clock Time: 167
Sent: 168 | System time: 2025-03-04 17:31:44.686689 | Logical Clock Time: 168
Internal event | System time: 2025-03-04 17:31:44.885526 | Logical Clock Time: 169
Sent: 170 | System time: 2025-03-04 17:31:45.087007 | Logical Clock Time: 170
Received: 166 | System time: 2025-03-04 17:31:45.285982 | Logical Clock Time: 171 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:45.486172 | Logical Clock Time: 172
Sent: 173 | System time: 2025-03-04 17:31:45.689304 | Logical Clock Time: 173
Internal event | System time: 2025-03-04 17:31:45.886811 | Logical Clock Time: 174
Internal event | System time: 2025-03-04 17:31:46.087237 | Logical Clock Time: 175
Internal event | System time: 2025-03-04 17:31:46.287547 | Logical Clock Time: 176
Internal event | System time: 2025-03-04 17:31:46.487845 | Logical Clock Time: 177
Received: 176 | System time: 2025-03-04 17:31:46.688256 | Logical Clock Time: 178 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:46.888574 | Logical Clock Time: 179
Sent: 180 | System time: 2025-03-04 17:31:47.093515 | Logical Clock Time: 180
Internal event | System time: 2025-03-04 17:31:47.289500 | Logical Clock Time: 181
Sent: 182 | System time: 2025-03-04 17:31:47.490267 | Logical Clock Time: 182
Internal event | System time: 2025-03-04 17:31:47.690023 | Logical Clock Time: 183
Internal event | System time: 2025-03-04 17:31:47.890521 | Logical Clock Time: 184
Internal event | System time: 2025-03-04 17:31:48.090870 | Logical Clock Time: 185
Received: 185 | System time: 2025-03-04 17:31:48.291036 | Logical Clock Time: 186 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:48.491258 | Logical Clock Time: 187
Internal event | System time: 2025-03-04 17:31:48.691705 | Logical Clock Time: 188
Internal event | System time: 2025-03-04 17:31:48.892059 | Logical Clock Time: 189
Sent: 190 | System time: 2025-03-04 17:31:49.092974 | Logical Clock Time: 190
Internal event | System time: 2025-03-04 17:31:49.293084 | Logical Clock Time: 191
Sent: 192 | System time: 2025-03-04 17:31:49.494291 | Logical Clock Time: 192
Internal event | System time: 2025-03-04 17:31:49.693901 | Logical Clock Time: 193
Internal event | System time: 2025-03-04 17:31:49.894495 | Logical Clock Time: 194
Internal event | System time: 2025-03-04 17:31:50.095393 | Logical Clock Time: 195
Sent: 196 | System time: 2025-03-04 17:31:50.296219 | Logical Clock Time: 196
Internal event | System time: 2025-03-04 17:31:50.496176 | Logical Clock Time: 197
Internal event | System time: 2025-03-04 17:31:50.696578 | Logical Clock Time: 198
Internal event | System time: 2025-03-04 17:31:50.896852 | Logical Clock Time: 199
Internal event | System time: 2025-03-04 17:31:51.097117 | Logical Clock Time: 200
Internal event | System time: 2025-03-04 17:31:51.297699 | Logical Clock Time: 201
Internal event | System time: 2025-03-04 17:31:51.498073 | Logical Clock Time: 202
Internal event | System time: 2025-03-04 17:31:51.698513 | Logical Clock Time: 203
Internal event | System time: 2025-03-04 17:31:51.898773 | Logical Clock Time: 204
Internal event | System time: 2025-03-04 17:31:52.099303 | Logical Clock Time: 205
Internal event | System time: 2025-03-04 17:31:52.299742 | Logical Clock Time: 206
Internal event | System time: 2025-03-04 17:31:52.500059 | Logical Clock Time: 207
Internal event | System time: 2025-03-04 17:31:52.700506 | Logical Clock Time: 208
Received: 203 | System time: 2025-03-04 17:31:52.900893 | Logical Clock Time: 209 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:53.101526 | Logical Clock Time: 210
Internal event | System time: 2025-03-04 17:31:53.301689 | Logical Clock Time: 211
Internal event | System time: 2025-03-04 17:31:53.501888 | Logical Clock Time: 212
Sent: 213 | System time: 2025-03-04 17:31:53.703260 | Logical Clock Time: 213
Received: 206 | System time: 2025-03-04 17:31:53.902623 | Logical Clock Time: 214 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:54.102763 | Logical Clock Time: 215
Sent: 216 | System time: 2025-03-04 17:31:54.303819 | Logical Clock Time: 216
Internal event | System time: 2025-03-04 17:31:54.503280 | Logical Clock Time: 217
Internal event | System time: 2025-03-04 17:31:54.703532 | Logical Clock Time: 218
Sent: 219 | System time: 2025-03-04 17:31:54.904052 | Logical Clock Time: 219
Internal event | System time: 2025-03-04 17:31:55.103937 | Logical Clock Time: 220
Internal event | System time: 2025-03-04 17:31:55.304166 | Logical Clock Time: 221
Sent: 222 | System time: 2025-03-04 17:31:55.507159 | Logical Clock Time: 222
Sent: 223 | System time: 2025-03-04 17:31:55.706565 | Logical Clock Time: 223
Internal event | System time: 2025-03-04 17:31:55.905050 | Logical Clock Time: 224
Internal event | System time: 2025-03-04 17:31:56.105300 | Logical Clock Time: 225
Internal event | System time: 2025-03-04 17:31:56.305483 | Logical Clock Time: 226
Sent: 227 | System time: 2025-03-04 17:31:56.507684 | Logical Clock Time: 227
Sent: 228 | System time: 2025-03-04 17:31:56.706634 | Logical Clock Time: 228
Sent: 229 | System time: 2025-03-04 17:31:56.906769 | Logical Clock Time: 229
Sent: 230 | System time: 2025-03-04 17:31:57.106728 | Logical Clock Time: 230
Received: 230 | System time: 2025-03-04 17:31:57.306658 | Logical Clock Time: 231 | Message Queue Length: 0
Sent: 232 | System time: 2025-03-04 17:31:57.507203 | Logical Clock Time: 232
Internal event | System time: 2025-03-04 17:31:57.707014 | Logical Clock Time: 233
Received: 232 | System time: 2025-03-04 17:31:57.907232 | Logical Clock Time: 234 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:58.107364 | Logical Clock Time: 235
Received: 233 | System time: 2025-03-04 17:31:58.307603 | Logical Clock Time: 236 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:31:58.507800 | Logical Clock Time: 237
Internal event | System time: 2025-03-04 17:31:58.707979 | Logical Clock Time: 238
Sent: 239 | System time: 2025-03-04 17:31:58.908678 | Logical Clock Time: 239
Internal event | System time: 2025-03-04 17:31:59.108444 | Logical Clock Time: 240
Internal event | System time: 2025-03-04 17:31:59.308743 | Logical Clock Time: 241
Internal event | System time: 2025-03-04 17:31:59.508941 | Logical Clock Time: 242
Internal event | System time: 2025-03-04 17:31:59.709259 | Logical Clock Time: 243
Internal event | System time: 2025-03-04 17:31:59.909526 | Logical Clock Time: 244
Internal event | System time: 2025-03-04 17:32:00.109746 | Logical Clock Time: 245
Internal event | System time: 2025-03-04 17:32:00.310163 | Logical Clock Time: 246
Internal event | System time: 2025-03-04 17:32:00.510515 | Logical Clock Time: 247
Received: 244 | System time: 2025-03-04 17:32:00.711254 | Logical Clock Time: 248 | Message Queue Length: 0
Received: 245 | System time: 2025-03-04 17:32:00.911654 | Logical Clock Time: 249 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:32:01.112327 | Logical Clock Time: 250
Sent: 251 | System time: 2025-03-04 17:32:01.313237 | Logical Clock Time: 251
Sent: 252 | System time: 2025-03-04 17:32:01.513676 | Logical Clock Time: 252
Internal event | System time: 2025-03-04 17:32:01.713547 | Logical Clock Time: 253
Internal event | System time: 2025-03-04 17:32:01.913745 | Logical Clock Time: 254
Internal event | System time: 2025-03-04 17:32:02.114042 | Logical Clock Time: 255
Internal event | System time: 2025-03-04 17:32:02.314252 | Logical Clock Time: 256
Internal event | System time: 2025-03-04 17:32:02.514626 | Logical Clock Time: 257
Sent: 258 | System time: 2025-03-04 17:32:02.715634 | Logical Clock Time: 258
Internal event | System time: 2025-03-04 17:32:02.915390 | Logical Clock Time: 259
Internal event | System time: 2025-03-04 17:32:03.115916 | Logical Clock Time: 260
Internal event | System time: 2025-03-04 17:32:03.316383 | Logical Clock Time: 261
Sent: 262 | System time: 2025-03-04 17:32:03.518831 | Logical Clock Time: 262
Internal event | System time: 2025-03-04 17:32:03.717147 | Logical Clock Time: 263
Internal event | System time: 2025-03-04 17:32:03.917631 | Logical Clock Time: 264
Internal event | System time: 2025-03-04 17:32:04.118219 | Logical Clock Time: 265
Sent: 266 | System time: 2025-03-04 17:32:04.319127 | Logical Clock Time: 266
Internal event | System time: 2025-03-04 17:32:04.518655 | Logical Clock Time: 267
Internal event | System time: 2025-03-04 17:32:04.718934 | Logical Clock Time: 268
Received: 267 | System time: 2025-03-04 17:32:04.919327 | Logical Clock Time: 269 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:32:05.119625 | Logical Clock Time: 270
Sent: 271 | System time: 2025-03-04 17:32:05.320317 | Logical Clock Time: 271
Sent: 272 | System time: 2025-03-04 17:32:05.520824 | Logical Clock Time: 272
Sent: 273 | System time: 2025-03-04 17:32:05.724180 | Logical Clock Time: 273
Internal event | System time: 2025-03-04 17:32:05.920859 | Logical Clock Time: 274
Internal event | System time: 2025-03-04 17:32:06.121352 | Logical Clock Time: 275
Sent: 276 | System time: 2025-03-04 17:32:06.322033 | Logical Clock Time: 276
Internal event | System time: 2025-03-04 17:32:06.521899 | Logical Clock Time: 277
Sent: 278 | System time: 2025-03-04 17:32:06.723161 | Logical Clock Time: 278
Internal event | System time: 2025-03-04 17:32:06.922770 | Logical Clock Time: 279
Internal event | System time: 2025-03-04 17:32:07.123144 | Logical Clock Time: 280
Internal event | System time: 2025-03-04 17:32:07.323481 | Logical Clock Time: 281
Internal event | System time: 2025-03-04 17:32:07.523969 | Logical Clock Time: 282
Received: 280 | System time: 2025-03-04 17:32:07.724263 | Logical Clock Time: 283 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:32:07.924537 | Logical Clock Time: 284
Internal event | System time: 2025-03-04 17:32:08.124874 | Logical Clock Time: 285
Internal event | System time: 2025-03-04 17:32:08.325290 | Logical Clock Time: 286
Internal event | System time: 2025-03-04 17:32:08.525545 | Logical Clock Time: 287
Internal event | System time: 2025-03-04 17:32:08.726226 | Logical Clock Time: 288
Internal event | System time: 2025-03-04 17:32:08.926425 | Logical Clock Time: 289
Internal event | System time: 2025-03-04 17:32:09.126618 | Logical Clock Time: 290
Sent: 291 | System time: 2025-03-04 17:32:09.328678 | Logical Clock Time: 291
Internal event | System time: 2025-03-04 17:32:09.527830 | Logical Clock Time: 292
Internal event | System time: 2025-03-04 17:32:09.728338 | Logical Clock Time: 293
Internal event | System time: 2025-03-04 17:32:09.928802 | Logical Clock Time: 294
Sent: 295 | System time: 2025-03-04 17:32:10.129588 | Logical Clock Time: 295
Internal event | System time: 2025-03-04 17:32:10.329793 | Logical Clock Time: 296
Sent: 297 | System time: 2025-03-04 17:32:10.530438 | Logical Clock Time: 297
Internal event | System time: 2025-03-04 17:32:10.730360 | Logical Clock Time: 298

============= VM LOG END =============
