============= VM0 LOG START =============
Clock rate: 5 ticks per second
Peers: [1, 2]

Sent: 124 | System time: 2025-03-04 17:28:27.066734 | Logical Clock Time: 124
Sent: 125 | System time: 2025-03-04 17:28:27.267236 | Logical Clock Time: 125
Internal event | System time: 2025-03-04 17:28:27.466918 | Logical Clock Time: 126
Internal event | System time: 2025-03-04 17:28:27.667285 | Logical Clock Time: 127
Sent: 128 | System time: 2025-03-04 17:28:27.868091 | Logical Clock Time: 128
Internal event | System time: 2025-03-04 17:28:28.068263 | Logical Clock Time: 129
Internal event | System time: 2025-03-04 17:28:28.268639 | Logical Clock Time: 130
Internal event | System time: 2025-03-04 17:28:28.468942 | Logical Clock Time: 131
Internal event | System time: 2025-03-04 17:28:28.669233 | Logical Clock Time: 132
Internal event | System time: 2025-03-04 17:28:28.869684 | Logical Clock Time: 133
Internal event | System time: 2025-03-04 17:28:29.070021 | Logical Clock Time: 134
Received: 132 | System time: 2025-03-04 17:28:29.270412 | Logical Clock Time: 135 | Message Queue Length: 0
Sent: 136 | System time: 2025-03-04 17:28:29.471354 | Logical Clock Time: 136
Sent: 137 | System time: 2025-03-04 17:28:29.683245 | Logical Clock Time: 137
Internal event | System time: 2025-03-04 17:28:29.871903 | Logical Clock Time: 138
Internal event | System time: 2025-03-04 17:28:30.072278 | Logical Clock Time: 139
Internal event | System time: 2025-03-04 17:28:30.272688 | Logical Clock Time: 140
Received: 140 | System time: 2025-03-04 17:28:30.473012 | Logical Clock Time: 141 | Message Queue Length: 0
Sent: 142 | System time: 2025-03-04 17:28:30.673680 | Logical Clock Time: 142
Sent: 143 | System time: 2025-03-04 17:28:30.874205 | Logical Clock Time: 143
Internal event | System time: 2025-03-04 17:28:31.074206 | Logical Clock Time: 144
Sent: 145 | System time: 2025-03-04 17:28:31.276342 | Logical Clock Time: 145
Internal event | System time: 2025-03-04 17:28:31.474794 | Logical Clock Time: 146
Internal event | System time: 2025-03-04 17:28:31.675321 | Logical Clock Time: 147
Internal event | System time: 2025-03-04 17:28:31.875836 | Logical Clock Time: 148
Sent: 149 | System time: 2025-03-04 17:28:32.077123 | Logical Clock Time: 149
Internal event | System time: 2025-03-04 17:28:32.276800 | Logical Clock Time: 150
Internal event | System time: 2025-03-04 17:28:32.476957 | Logical Clock Time: 151
Sent: 152 | System time: 2025-03-04 17:28:32.678152 | Logical Clock Time: 152
Received: 152 | System time: 2025-03-04 17:28:32.877994 | Logical Clock Time: 153 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:28:33.078209 | Logical Clock Time: 154
Internal event | System time: 2025-03-04 17:28:33.278620 | Logical Clock Time: 155
Internal event | System time: 2025-03-04 17:28:33.478796 | Logical Clock Time: 156
Internal event | System time: 2025-03-04 17:28:33.679119 | Logical Clock Time: 157
Sent: 158 | System time: 2025-03-04 17:28:33.879844 | Logical Clock Time: 158
Internal event | System time: 2025-03-04 17:28:34.079792 | Logical Clock Time: 159
Internal event | System time: 2025-03-04 17:28:34.279853 | Logical Clock Time: 160
Sent: 161 | System time: 2025-03-04 17:28:34.480644 | Logical Clock Time: 161
Internal event | System time: 2025-03-04 17:28:34.680418 | Logical Clock Time: 162
Internal event | System time: 2025-03-04 17:28:34.880756 | Logical Clock Time: 163
Internal event | System time: 2025-03-04 17:28:35.081225 | Logical Clock Time: 164
Internal event | System time: 2025-03-04 17:28:35.281572 | Logical Clock Time: 165
Internal event | System time: 2025-03-04 17:28:35.481785 | Logical Clock Time: 166
Sent: 167 | System time: 2025-03-04 17:28:35.682440 | Logical Clock Time: 167
Sent: 168 | System time: 2025-03-04 17:28:35.882793 | Logical Clock Time: 168
Sent: 169 | System time: 2025-03-04 17:28:36.083325 | Logical Clock Time: 169
Sent: 170 | System time: 2025-03-04 17:28:36.283516 | Logical Clock Time: 170
Internal event | System time: 2025-03-04 17:28:36.483328 | Logical Clock Time: 171
Sent: 172 | System time: 2025-03-04 17:28:36.684115 | Logical Clock Time: 172
Internal event | System time: 2025-03-04 17:28:36.884035 | Logical Clock Time: 173
Internal event | System time: 2025-03-04 17:28:37.084452 | Logical Clock Time: 174
Received: 174 | System time: 2025-03-04 17:28:37.285022 | Logical Clock Time: 175 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:28:37.485546 | Logical Clock Time: 176
Sent: 177 | System time: 2025-03-04 17:28:37.687972 | Logical Clock Time: 177
Sent: 178 | System time: 2025-03-04 17:28:37.887198 | Logical Clock Time: 178
Internal event | System time: 2025-03-04 17:28:38.086723 | Logical Clock Time: 179
Internal event | System time: 2025-03-04 17:28:38.287160 | Logical Clock Time: 180
Received: 180 | System time: 2025-03-04 17:28:38.487454 | Logical Clock Time: 181 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:28:38.687784 | Logical Clock Time: 182
Internal event | System time: 2025-03-04 17:28:38.888271 | Logical Clock Time: 183
Internal event | System time: 2025-03-04 17:28:39.088469 | Logical Clock Time: 184
Internal event | System time: 2025-03-04 17:28:39.288876 | Logical Clock Time: 185
Internal event | System time: 2025-03-04 17:28:39.489213 | Logical Clock Time: 186
Internal event | System time: 2025-03-04 17:28:39.689648 | Logical Clock Time: 187
Received: 184 | System time: 2025-03-04 17:28:39.890176 | Logical Clock Time: 188 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:28:40.090704 | Logical Clock Time: 189
Sent: 190 | System time: 2025-03-04 17:28:40.291562 | Logical Clock Time: 190
Internal event | System time: 2025-03-04 17:28:40.491602 | Logical Clock Time: 191
Internal event | System time: 2025-03-04 17:28:40.691947 | Logical Clock Time: 192
Internal event | System time: 2025-03-04 17:28:40.892384 | Logical Clock Time: 193
